Team,PTS,OR,DR,FTA,TO,TOR
Duke,82.3,12.47,27.82,22.06,10.50,13.36
Siena,70.5,10.18,24.24,18.94,10.30,13.92
Ohio State,79.8,9.30,23.94,21.18,10.40,13.72
TCU,78.3,12.42,23.76,23.45,10.90,13.32
St John's,81.6,13.09,25.56,25.79,10.50,12.59
Northern Iowa,69.9,6.86,25.09,14.03,9.30,13.22
Kansas,75.6,10.12,28.73,19.24,10.70,13.68
CA Baptist,73,13.88,26.06,21.42,12.40,15.28
Louisville,84.8,11.33,27.12,20.45,11.60,14.20
South Florida,87.7,15.48,27.24,27.09,11.20,12.57
Michigan St,78.9,12.72,27.13,21.19,11.50,14.49
N Dakota St,80.7,11.62,24.82,18.94,10.80,13.39
UCLA,77.7,9.97,22.32,19.29,8.90,11.75
UCF,81,12.38,24.81,19.44,11.20,13.53
UConn,77.5,11.62,24.94,17.59,11.20,14.44
Furman,76.5,10.88,27.09,18.32,11.90,15.32
Florida,86.8,16.12,29.30,25.15,11.90,13.62
LEHIGH,73.2,7.68,24.18,18.15,12.10,15.87
PVAMU,78.9,10.06,23.91,25.83,11.90,14.28
Clemson,74.1,9.29,25.00,20.82,9.40,12.60
Iowa,75.2,8.82,20.61,18.58,9.70,13.52
Vanderbilt,86.4,10.71,24.62,23.41,9.50,11.71
McNeese,80,12.67,22.55,22.91,9.60,12.03
Nebraska,77.3,8.78,26.13,16.00,9.80,12.94
Troy,80.3,12.73,25.58,21.85,11.90,14.42
North Carolina,79.8,10.78,27.25,22.16,9.70,12.33
VCU,81.6,11.18,25.50,25.38,10.50,13.17
Illinois,84.4,13.19,27.47,20.41,8.90,11.14
Penn,76.1,11.52,24.90,21.93,10.80,13.42
Saint Mary's,78.2,12.44,27.91,20.88,10.80,13.90
Texas A&M,87.7,12.22,25.50,24.13,10.80,12.57
Houston,77.1,12.79,23.79,16.62,8.50,10.96
Idaho,78.7,10.66,26.74,20.37,10.60,13.34
Arizona,86.1,12.76,29.76,26.09,10.80,12.99
Long Island,74.1,11.35,23.65,19.82,13.00,16.50
Villanova,77.2,11.53,22.94,18.69,10.10,12.94
Utah St.,82.5,10.91,23.68,22.09,10.60,13.46
Wisconsin,83,10.38,25.12,19.76,8.90,11.19
High Point,90,11.62,24.76,26.79,9.40,11.32
Arkansas,89.9,11.03,25.06,23.35,9.00,10.78
Hawaii,79.6,11.09,28.19,25.06,13.50,16.27
BYU,83.9,12.38,25.91,21.26,10.90,13.21
NC ST,83.7,9.85,24.67,21.39,9.20,11.59
TEXAS,83.8,12.00,25.66,26.34,11.00,13.62
Gonzaga,85.1,11.97,27.94,19.73,9.70,11.86
Kennesaw St.,83.4,13.91,26.41,27.00,11.90,13.88
Miami (FL),81.9,12.24,25.06,22.42,11.20,13.85
Missouri,79.7,11.59,24.00,24.19,12.40,15.50
Purdue,81.7,11.29,24.14,17.11,8.90,11.67
Queens (NC),84.9,10.24,23.56,22.53,10.70,13.24
Michigan,86.8,11.00,28.97,22.68,12.00,14.61
HOW,77.5,12.39,24.18,25.55,13.50,16.55
UMBC,76.2,8.22,27.25,18.78,9.60,12.81
Georgia,89.8,13.03,25.16,24.22,10.70,12.31
Saint Louis,87.2,10.24,29.70,20.48,12.50,15.33
Texas Tech,80.4,11.53,25.41,16.53,10.80,13.65
Akron,88.4,11.35,26.71,17.68,10.90,13.22
Alabama,91.7,12.22,28.41,24.50,9.80,11.34
Hofstra,75.6,12.41,26.85,18.79,10.60,13.62
Tennessee,79.5,16.03,26.55,23.67,11.70,14.06
SMU,84.2,12.27,25.42,19.21,11.30,13.70
MIA OH,90.7,8.28,27.19,23.63,10.50,13.04
Virginia,80.6,13.21,27.00,20.00,10.80,13.48
Wright St.,80.7,11.26,24.15,22.15,11.30,14.17
Kentucky,80.8,11.94,25.56,22.68,10.50,12.97
Santa Clara,82.9,13.09,22.62,16.35,10.80,13.04
Iowa St.,81.8,11.85,23.76,20.47,10.30,12.95
Tennessee St.,80.5,13.03,24.97,21.28,12.20,14.43
