Team,Opponent,Win,PTS,FTR,OR,DR,FGA,FTA,TO,TOR
Army Black Knight,SUNY-Maritime,1,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,St. Thomas-Minnesota,0,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Duke,0,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Harvard,0,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Cornell,0,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Marist,0,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,East Texas A&M,0,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Fairleigh Dickinson,1,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Manhattan,1,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,George Washington,0,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Gallaudet,1,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,UMBC,1,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Binghamton,1,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Lehigh,1,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Colgate,0,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Loyola Maryland,0,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Boston University,0,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Holy Cross,0,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,American University,0,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Bucknell,1,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Navy,0,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Lehigh,1,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Holy Cross,1,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Colgate,0,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Lafayette,0,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Boston University,0,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,American University,0,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Loyola Maryland,1,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Navy,0,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Bucknell,0,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Army Black Knight,Lafayette,0,72.70,71.40,11.61,23.84,60.97,15.81,11.90,14.91
Boise State Broncos,Hawai'I Pacific,0,78.10,78.30,10.52,25.31,57.21,23.03,11.50,14.59
Boise State Broncos,Utah Valley,1,78.10,78.30,10.52,25.31,57.21,23.03,11.50,14.59
Boise State Broncos,UT Rio Grande Valley,1,78.10,78.30,10.52,25.31,57.21,23.03,11.50,14.59
Boise State Broncos,Montana State,1,78.10,78.30,10.52,25.31,57.21,23.03,11.50,14.59
Boise State Broncos,Wichita State,1,78.10,78.30,10.52,25.31,57.21,23.03,11.50,14.59
Boise State Broncos,USC,0,78.10,78.30,10.52,25.31,57.21,23.03,11.50,14.59
Boise State Broncos,NC State,0,78.10,78.30,10.52,25.31,57.21,23.03,11.50,14.59
Boise State Broncos,Chaminade,1,78.10,78.30,10.52,25.31,57.21,23.03,11.50,14.59
Boise State Broncos,Butler,1,78.10,78.30,10.52,25.31,57.21,23.03,11.50,14.59
Boise State Broncos,Duquesne,1,78.10,78.30,10.52,25.31,57.21,23.03,11.50,14.59
