Team,Opponent,Win,PTS,FTR,OR,DR,FGA,FTA,TO,TOR
Army Black Knight,SUNY-Maritime,1,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,St. Thomas-Minnesota,0,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Duke,0,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Harvard,0,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Cornell,0,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Marist,0,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,East Texas A&M,0,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Fairleigh Dickinson,1,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Manhattan,1,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,George Washington,0,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Gallaudet,1,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,UMBC,1,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Binghamton,1,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Lehigh,1,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Colgate,0,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Loyola Maryland,0,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Boston University,0,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Holy Cross,0,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,American University,0,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Bucknell,1,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Navy,0,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Lehigh,1,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Holy Cross,1,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Colgate,0,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Lafayette,0,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Boston University,0,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,American University,0,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Loyola Maryland,1,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Navy,0,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Bucknell,0,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Army Black Knight,Lafayette,0,72.7,71.4,11.6,23.8,61.0,15.8,11.90,14.9
Boise State Broncos,Hawai'I Pacific,0,78.1,78.3,10.5,25.3,57.2,23.0,11.50,14.6
Boise State Broncos,Utah Valley,1,78.1,78.3,10.5,25.3,57.2,23.0,11.50,14.6
Boise State Broncos,UT Rio Grande Valley,1,78.1,78.3,10.5,25.3,57.2,23.0,11.50,14.6
Boise State Broncos,Montana State,1,78.1,78.3,10.5,25.3,57.2,23.0,11.50,14.6
Boise State Broncos,Wichita State,1,78.1,78.3,10.5,25.3,57.2,23.0,11.50,14.6
